Sample,Date,Tide,Well,Depth,DOC,TN,,UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name,UniqueID,W,D,tide
030322_H_W3D3,30322,H,3,3,220.5470955,62.22736262,,030322_H_W3D3,0.52861678,0.045127273,0.440569127,0.664924184,0.208396323,0.033671818,0.456765349,0.449274851,0.461439891,1.44087605,0.803694095,1.195856992,18.59984719,1.029054271,0.662585506,8.228019233,0.007335113,245.936129,Group002Sample0002,run3,030322_H_W3D3,W3,D3,H
030322_H_W3D4,30322,H,3,4,210.6559151,30.67817544,,030322_H_W3D4,0.534722769,0.054268596,0.44548852,0.67445176,0.241952812,0.049821086,0.459326019,0.453819859,0.465687005,1.465194475,0.894841136,1.332583496,18.18342841,1.029861754,0.660519472,9.805578437,0.00806153,277.5812277,Group002Sample0003,run3,030322_H_W3D4,W3,D4,H
030322_H_W4D1,30322,H,4,1,75.9968195,26.02564011,,030322_H_W4D1,0.036451401,0.009166805,0.033995497,0.038826932,0.030276365,0.006495265,0.015703172,0.027583114,0.012665534,0.045263604,0.033731294,0.806062865,4.126831871,1.372056208,0.875564854,1.168324969,0.025766167,10.48483929,Group002Sample0004,run3,030322_H_W4D1,W4,D1,H
030322_H_W4D2,30322,H,4,2,78.22816322,31.51586979,,030322_H_W4D2,0.103022963,0.01821787,0.095512161,0.107227807,0.029706898,0.014139333,0.04579573,0.07710484,0.036264596,0.126157271,0.107396266,0.719709563,8.466831022,1.416370443,0.890740599,1.417874891,0.011609884,25.12566722,Group002Sample0005,run3,030322_H_W4D2,W4,D2,H
030322_H_W4D3,30322,H,4,3,84.24675498,32.56655743,,030322_H_W4D3,0.123791597,0.016391659,0.11392176,0.126661045,0.029517148,0.033383581,0.055948752,0.093426036,0.043681324,0.155910807,0.099820831,0.660054593,9.840609915,1.365747539,0.899422234,1.430851352,0.009751171,28.59136346,Group006Sample0005,run2,030322_H_W4D3,W4,D3,H
030322_H_W4D4,30322,H,4,4,83.19456818,39.9094719,,030322_H_W4D4,0.157606624,0.014296532,0.145630039,0.157778573,0.032576472,0.019563702,0.07192073,0.119728035,0.05530156,0.203314665,0.099688297,0.643035475,13.04828582,1.361353782,0.923002637,1.488226738,0.007977724,35.61983822,Group002Sample0006,run3,030322_H_W4D4,W4,D4,H
030322_L_MQ,30322,L,MQ,,9.433255347,0,,,,,,,,,,,,,,,,,,,,,,,,,,
030322_L_SW,30322,L,Seawater,1,79.2959611,16.31362134,,030322_L_SW,0.051010162,0.011980337,0.04580772,0.055099055,0.020921827,0,0.022013849,0.035277292,0.016907732,0.0617151,0.049337886,0.797872304,5.360318319,1.491032926,0.831370338,1.205906477,0.019752025,13.87377973,Group008Sample0005,run2,030322_L_SW,030322_L_SW,030322_L_SW,L
030322_L_W1D1,30322,L,1,1,580.3731256,183.3943755,,030322_L_W1D1,0.589221248,0.07054556,0.478905384,0.758836829,0.316368862,0.069515511,0.478010956,0.483557699,0.482100594,1.714482604,1.244013082,1.367720974,18.34749819,1.032687055,0.63110456,12.81006768,0.008328404,362.719866,Group006Sample0006,run2,030322_L_W1D1,W1,D1,L
030322_L_W1D2,30322,L,1,2,598.1073126,198.5478378,,030322_L_W1D2,0.581477214,0.057183467,0.473198166,0.746604818,0.280842852,0.082300952,0.47460811,0.478295327,0.478875662,1.685084432,0.965563608,1.367436672,18.91654978,1.033018854,0.633800044,11.2088869,0.007831665,317.8052569,Group006Sample0007,run2,030322_L_W1D2,W1,D2,L
030322_L_W1D3,30322,L,1,3,317.4200921,56.00891002,,030322_L_W1D3,0.507249206,0.035139995,0.4259401,0.635331323,0.141025552,0.040397657,0.408931883,0.434904546,0.303489881,1.003102144,0.528752108,0.90113455,17.76522759,1.030422288,0.670422006,5.932191918,0.007031731,165.0561998,Group007Sample0001,run2,030322_L_W1D3,W1,D3,L
030322_L_W1D4,30322,L,1,4,672.6658313,60.50675748,,030322_L_W1D4,0.588866366,0.115879018,0.476772598,0.761553779,0.463050839,0.084394931,0.47253507,0.479816169,0.474809385,1.751792992,1.740028519,1.376241615,13.55394156,1.033281043,0.626052435,19.57834849,0.011496294,463.425534,Group007Sample0002,run2,030322_L_W1D4,W1,D4,L
030322_L_W2D1,30322,L,2,1,475.3417786,277.6885348,,030322_L_W2D1,0.529437201,0.068992787,0.43821863,0.671549235,0.272900458,0.038769597,0.449930701,0.445051195,0.455850408,1.469463574,1.035395172,1.347223305,16.09501413,1.03149984,0.652548773,11.33033225,0.008988953,294.2721594,Group007Sample0003,run2,030322_L_W2D1,W2,D1,L
030322_L_W2D2,30322,L,2,2,366.2515507,186.3929405,,030322_L_W2D2,0.510030592,0.04801394,0.426417152,0.641113001,0.197621126,0.042488597,0.444659591,0.43495009,0.425616747,1.351566443,0.749041693,1.136426328,16.07202898,1.031265818,0.665120114,8.098413185,0.007878616,215.3139354,Group007Sample0004,run2,030322_L_W2D2,W2,D2,L
030322_L_W2D3,30322,L,2,3,298.31213,87.65447964,,030322_L_W2D3,0.50026223,0.047325863,0.420598275,0.625866405,0.176032606,0.022042701,0.429741327,0.429547213,0.320683084,1.033952333,0.563768467,0.965133658,15.84807343,1.030963422,0.672025645,7.23745496,0.008381093,172.686003,Group007Sample0005,run2,030322_L_W2D3,W2,D3,L
030322_L_W3D2,30322,L,3,2,309.4272191,175.4695967,,030322_L_W3D2,0.506163826,0.040594426,0.424626142,0.634871868,0.157066242,0.037854805,0.44391943,0.43331198,0.386638371,1.28237802,0.634524101,0.972134841,16.65235289,1.031244795,0.668837545,6.759504362,0.006923015,194.5290087,Group007Sample0006,run2,030322_L_W3D2,W3,D2,L
030322_L_W3D3,30322,L,3,3,433.1294179,121.1206066,,030322_L_W3D3,0.527972098,0.050140575,0.438063172,0.668908413,0.234851047,0.018920036,0.450234297,0.445023632,0.456252904,1.463544381,0.917016218,1.346369803,18.4871831,1.03219462,0.654892604,9.512594905,0.007719033,277.8230681,Group007Sample0007,run2,030322_L_W3D3,W3,D3,L
030322_L_W3D4,30322,L,3,4,350.8278035,54.24189852,,030322_L_W3D4,0.518952657,0.050961364,0.433284651,0.655404507,0.225290238,0.049631035,0.447303435,0.440349685,0.453590888,1.421542136,0.865222953,1.342692288,18.73679011,1.03116959,0.661095013,9.190095447,0.007663652,266.835761,Group008Sample0001,run2,030322_L_W3D4,W3,D4,L
030322_L_W4D1,30322,L,4,1,100.8631887,32.86641393,,030322_L_W4D1,0.105740151,0.018395291,0.100389295,0.111836401,0.032272363,0.00948495,0.049124506,0.08018231,0.038338774,0.124755926,0.10260231,0.757142335,9.020725113,1.417424371,0.897644185,1.519777656,0.012023362,25.90301837,Group008Sample0002,run2,030322_L_W4D1,W4,D1,L
030322_L_W4D3,30322,L,4,3,74.1776083,35.39020612,,030322_L_W4D3,0.114362897,0.012123023,0.110391113,0.117487898,0.024928747,0.004915104,0.055428981,0.090761794,0.044025828,0.149306912,0.093859982,0.692938383,12.14660357,1.34761169,0.939595609,1.209316547,0.008617832,26.86184964,Group002Sample0007,run3,030322_L_W4D3,W4,D3,L
111022_M_SW,111022,M,Seawater,1,95.99218475,24.09323157,,111022_M_SW,0.051746875,0.014427622,0.047624235,0.05793386,0.026697103,0,0.024561717,0.037850832,0.020742116,0.062609418,0.06397525,0.87283457,3.54428911,1.498860059,0.822044907,1.894925549,0.029484683,14.80708206,Group005Sample0002,run3,111022_M_SW,111022_M_SW,111022_M_SW,M
111022_M_W1D1,111022,M,1,1,544.2803084,445.39399,,111022_M_W1D1,0.545215756,0.091584774,0.451259243,0.692632978,0.3127546,0.077290229,0.461710235,0.457764492,0.468047354,1.528420341,1.136386483,1.346438821,16.11180772,1.029949234,0.651512788,12.98234916,0.009733429,323.8184763,Group009Sample0001,run2,111022_M_W1D1,W1,D1,M
111022_M_W1D2,111022,M,1,2,567.2598183,243.6869498,,111022_M_W1D2,0.536448828,0.073330413,0.445663256,0.677380906,0.29580393,0.055859568,0.459101505,0.453483908,0.465384843,1.497613945,0.975701849,1.343466514,16.25018377,1.028613053,0.657921196,12.1348578,0.009815979,303.7044889,Group003Sample0001,run3,111022_M_W1D2,W1,D2,M
111022_M_W1D3,111022,M,1,3,546.5335076,67.76578352,,111022_M_W1D3,0.558688059,0.107412608,0.460128412,0.710857686,0.384672303,0.074073983,0.467267912,0.466523645,0.472146869,1.583965766,1.356906195,1.355450849,14.47904712,1.029325307,0.647286259,16.01776708,0.010852189,383.2495366,Group003Sample0002,run3,111022_M_W1D3,W1,D3,M
111022_M_W1D4,111022,M,1,4,604.1696154,73.65046728,,111022_M_W1D4,0.577350042,0.113678391,0.471943929,0.739742133,0.425939355,0.079374618,0.473683882,0.476883928,0.477368122,1.673721058,1.565629093,1.366237387,14.06628732,1.031913294,0.637984384,17.75413705,0.011100861,427.5632746,Group003Sample0003,run3,111022_M_W1D4,W1,D4,M
111022_M_W1D5,111022,M,1,5,769.896842,89.72491736,,111022_M_W1D5,0.6104499,0.136787775,0.493102775,0.791534557,0.527160145,0.088902146,0.484655136,0.495776344,0.486262001,1.840823788,1.899254494,1.380364733,12.64299041,1.033270584,0.622970622,22.06513614,0.012282375,508.9638192,Group003Sample0004,run3,111022_M_W1D5,W1,D5,M
111022_M_W2D1,111022,M,2,1,544.0357348,308.2453397,,111022_M_W2D1,0.538601149,0.067721006,0.446348377,0.68191181,0.287841691,0.062432499,0.45834815,0.453346375,0.464336971,1.503944873,1.020251715,1.346118506,17.21603664,1.029715487,0.654554402,11.64986159,0.009096969,315.1935276,Group003Sample0005,run3,111022_M_W2D1,W2,D1,M
111022_M_W2D2,111022,M,2,2,402.7242376,132.4009224,,111022_M_W2D2,0.52170871,0.054058253,0.43611657,0.654629581,0.22942862,0.03003516,0.454722676,0.444935157,0.44350737,1.418282535,0.790962683,1.338262714,16.40212997,1.028127963,0.666203579,9.268976191,0.008588471,243.8081177,Group003Sample0006,run3,111022_M_W2D2,W2,D2,M
111022_M_W2D3,111022,M,2,3,305.9355408,48.82127839,,111022_M_W2D3,0.512448455,0.057130118,0.431267648,0.639844548,0.16626323,0.058137092,0.452204127,0.440722649,0.339033173,1.153106761,0.575106919,1.034562341,16.54125042,1.028502301,0.674019415,6.980976253,0.007531835,190.0856366,Group003Sample0007,run3,111022_M_W2D3,W2,D3,M
111022_M_W2D4,111022,M,2,4,401.9124614,59.62146687,,111022_M_W2D4,0.548271781,0.08551773,0.455272034,0.69343148,0.302178237,0.02552977,0.466305193,0.462910833,0.471882674,1.521091511,1.117967295,1.348109249,16.8008643,1.030437796,0.656549417,12.48283657,0.009268417,326.9669,Group004Sample0001,run3,111022_M_W2D4,W2,D4,M
111022_M_W3D1,111022,M,3,1,508.6298051,330.9487602,,111022_M_W3D1,0.545528513,0.074351236,0.452022496,0.691259342,0.316326999,0.033594604,0.463262483,0.458773343,0.468982321,1.521998978,1.217078368,1.34817862,16.99886246,1.031224425,0.65391159,12.76237131,0.009278575,344.5296796,Group004Sample0002,run3,111022_M_W3D1,W3,D1,M
111022_M_W3D2,111022,M,3,2,405.2844547,83.83487902,,111022_M_W3D2,0.533465729,0.070931488,0.445140159,0.67202812,0.272279656,0.046914663,0.459819892,0.453604606,0.466099756,1.458040951,0.988068976,1.343502001,16.46017071,1.029365841,0.662383233,11.21595976,0.009083536,288.5949647,Group004Sample0003,run3,111022_M_W3D2,W3,D2,M
